first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Seahawks,,DST,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,2700,11,9.2,7.8,9.2,6.2,2.30
JuJu,Smith-Schuster,WR,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,3800,26,7.8,5.6,7.8,6.2,1.63
Tre',Harris,WR,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,3000,7,1.9,1.9,1.9,6.1,2.05
Patriots,,DST,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,3100,18,8.2,4.4,8.2,6.1,1.96
Tyler,Allgeier,RB,,6,2025-10-13,Sun-Mon,ATL,BUF,+3.5,50.5,23.5,4700,20,7.8,6.5,7.5,6.0,1.28
49ers,,DST,,6,2025-10-12,Sun-Mon,SF,TB,+3.5,47.5,22,2500,15,5.2,3.8,5.2,6.0,2.38
Chris,Moore,WR,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,3000,19,2.0,1.0,2.5,6.0,1.98
Michael,Wilson,WR,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,3300,27,3.8,6.0,3.8,5.9,1.80
Tommy,Tremble,TE,,6,2025-10-12,Sun-Mon,CAR,DAL,+3.5,49.5,23,2600,16,5.3,5.5,5.3,5.8,2.22
Gunnar,Helm,TE,,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,2700,6,4.2,4.2,4.2,5.8,2.14
Browns,,DST,,6,2025-10-12,Sun-Mon,CLE,PIT,+5.5,38.5,16.5,2500,16,4.8,3.4,4.8,5.8,2.32
Jordan,Whittington,WR,,6,2025-10-12,Sun-Mon,LAR,BAL,-7.5,44.5,26,3100,31,3.4,3.4,3.4,5.7,1.82
Tory,Horton,WR,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,4100,23,11.1,11.1,11.1,5.7,1.39
Sean,Tucker,RB,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,4500,16,2.0,2.5,1.6,5.7,1.27
Jaguars,,DST,,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,2800,8,10.6,7.7,10.6,5.6,2.00
Hunter,Renfrow,WR,,6,2025-10-12,Sun-Mon,CAR,DAL,+3.5,49.5,23,3400,32,6.8,4.1,6.8,5.5,1.60
Chiefs,,DST,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,2700,2,6.6,5.4,6.6,5.5,2.03
Tyquan,Thornton,WR,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,4000,26,11.6,6.2,11.6,5.5,1.37
Tyjae,Spears,RB,Q,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,4500,17,13.4,9.3,1.4,5.5,1.23
Dolphins,,DST,,6,2025-10-12,Sun-Mon,MIA,LAC,+4.5,43.5,19.5,2200,23,4.8,5.6,4.8,5.5,2.50
Cole,Kmet,TE,,6,2025-10-13,Sun-Mon,CHI,WAS,+5.5,50.5,22.5,3200,19,5.4,4.4,6.2,5.5,1.71
Chris,Rodriguez Jr.,RB,Q,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,4000,29,4.1,2.7,3.5,5.5,1.36
Joshua,Palmer,WR,,6,2025-10-13,Sun-Mon,BUF,ATL,-3.5,50.5,27,3600,6,5.9,6.8,5.9,5.4,1.49
Emari,Demercado,RB,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,4800,5,5.0,4.6,5.7,5.4,1.13
Bhayshul,Tuten,RB,Q,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,4900,21,6.0,6.0,6.0,5.4,1.10
Lions,,DST,,6,2025-10-12,Sun-Mon,DET,KC,+2.5,51.5,24.5,2800,5,9.0,5.5,9.0,5.4,1.94
Jaylin,Lane,WR,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,3300,19,3.3,3.3,3.3,5.4,1.64
Mike,Gesicki,TE,,6,2025-10-12,Sun-Mon,CIN,GB,+14.5,44.5,15,3000,27,2.8,6.3,2.8,5.3,1.76
